时间,主驾设置温度,副驾设置温度,模式,内外气,风挡,A/C,PTC,压力采集电压,车内温度,蒸发温度,车外温度,阳光温度,TDBase,TDBaseDep,电磁阀状态,HVAC位置,电池PWM值,HVACPWM值,电子膨胀阀步数,K1,K2,K3,K4,OFFSET,模式当前位置,左冷暖当前位置,右冷暖当前位置,内外循环当前位置,HVAC水阀当前位置,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
14:53:19,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.6,0,32.3,123,21,21,0,7,10.1,10.1,0,8,6,3.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:20,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,326,30.6,0,32.3,124,21,21,0,7,10.1,10.1,0,8,6,3.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:21,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,324,30.5,0,32.2,124,21,21,0,7,10.1,10.1,0,8,6,3.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:22,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,324,30.4,0,32.2,124,21,21,0,7,10.1,10.1,0,8,6,3.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:23,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.4,0,32.2,124,21,21,0,7,10.1,10.1,0,8,6,3.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:24,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.4,0,32.2,124,21,21,0,7,10.1,10.1,0,8,6,3.1,34,110,233,223,224,18,7,,,,,,,,,,,
14:53:25,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.4,0,32.2,124,21,21,0,7,10.1,10.1,0,8,6,3.1,34,110,233,223,224,17,7,,,,,,,,,,,
14:53:26,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.5,0,32.1,124,21,21,0,7,10.1,10.1,0,8,6,2.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:27,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,324,30.6,0,32.1,125,21,21,0,7,10.1,10.1,0,8,6,2.9,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:28,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.6,0,32.1,123,21,21,0,7,10.1,10.1,0,8,6,2.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:29,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,327,30.6,0,32.1,126,21,21,0,7,10.1,10.1,0,8,6,2.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:30,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,327,30.6,0,32,126,21,21,0,7,10.1,10.1,0,8,6,2.8,34,110,233,223,224,17,7,,,,,,,,,,,
14:53:31,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,329,30.5,0,32,127,21,21,0,7,10.1,10.1,0,8,6,2.8,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:32,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,328,30.5,0,32,129,21,21,0,7,10.1,10.1,0,8,6,2.8,34,110,233,223,224,17,7,,,,,,,,,,,
14:53:33,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,329,30.6,0,32,130,21,21,0,7,10.1,10.1,0,8,6,2.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:34,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,330,30.5,0,32,137,21,21,0,7,10.1,10.1,0,8,6,2.8,33.9,110,233,223,224,18,8,,,,,,,,,,,
14:53:35,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,330,30.5,0,31.9,131,21,21,0,7,10.1,10.1,0,8,6,2.7,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:36,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,331,30.4,0,31.9,123,21,21,0,7,10.1,10.1,0,8,6,2.7,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:37,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,332,30.3,0,31.9,125,21,21,0,7,10.1,10.1,0,8,6,2.7,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:38,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,334,30.3,0,31.9,126,21,21,0,7,10.1,10.1,0,8,6,2.7,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:39,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,335,30.3,0,31.8,122,21,21,0,7,10.1,10.1,0,8,6,2.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:40,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,336,30.3,0,31.8,118,21,21,0,7,10.1,10.1,0,8,6,2.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:41,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,340,30.3,0,31.8,123,21,21,0,7,10.1,10.1,0,8,6,2.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:42,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,342,30.4,0,31.8,130,21,21,0,7,10.1,10.1,0,8,6,2.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:43,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,344,30.4,0,31.8,132,21,21,0,7,10.1,10.1,0,8,6,2.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:44,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,346,30.4,0,31.7,133,21,21,0,7,10.1,10.1,0,8,6,2.4,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:45,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,345,30.4,0,31.7,133,21,21,0,7,10.1,10.1,0,8,6,2.4,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:46,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,346,30.5,0,31.7,133,21,21,0,7,10.1,10.1,0,8,6,2.4,34,110,233,224,224,18,8,,,,,,,,,,,
14:53:47,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,349,30.6,0,31.7,133,21,21,0,7,10.1,10.1,0,8,6,2.4,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:48,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,350,30.6,0,31.7,134,21,21,0,7,10.1,10.1,0,8,6,2.4,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:49,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,350,30.6,0,31.6,133,21,21,0,7,10.1,10.1,0,8,6,2.2,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:50,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,350,30.6,0,31.6,133,21,21,0,7,10.1,10.1,0,8,6,2.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:51,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,351,30.5,0,31.6,133,21,21,0,7,10.1,10.1,0,8,6,2.2,34,110,233,223,224,18,7,,,,,,,,,,,
14:53:52,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,351,30.5,0,31.6,133,21,21,0,7,10.1,10.1,0,8,6,2.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:53,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,351,30.4,0,31.5,133,21,21,0,7,10.1,10.1,0,8,6,2.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:54,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,351,30.4,0,31.5,133,21,21,0,7,10.1,10.1,0,8,6,2.1,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:55,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,350,30.4,0,31.5,133,21,21,0,7,10.1,10.1,0,8,6,2.1,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:56,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,348,30.4,0,31.5,133,21,21,0,7,10.1,10.1,0,8,6,2.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:57,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,347,30.4,0,31.5,133,21,21,0,7,10.1,10.1,0,8,6,2.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:58,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,346,30.4,0,31.4,133,21,21,0,7,10.1,10.1,0,8,6,2,34,110,233,223,224,18,7,,,,,,,,,,,
14:53:59,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,343,30.3,0,31.4,133,24,24,0,7,10.1,10.1,0,8,6,2,34,110,233,223,224,17,8,,,,,,,,,,,
14:54:00,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,342,30.3,0,31.4,133,24,24,0,7,10.1,10.1,0,8,6,2,34,110,233,223,224,18,8,,,,,,,,,,,
14:54:01,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,342,30.3,0,31.4,133,24,24,0,7,10.1,10.1,0,8,6,2,34,110,233,223,224,17,8,,,,,,,,,,,
14:54:02,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,342,30.2,0,31.4,133,24,24,0,7,10.1,10.1,0,8,6,2,34,110,233,223,224,17,8,,,,,,,,,,,
